Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 16,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 8,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 8,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 7,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 0xff,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 8,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 8,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 7,196
h2database,org.h2.util,Bits,uuidToBytes,Magic Number,The method contains a magic number: 0xff,196
h2database,org.h2.util,Bits,writeInt,Magic Number,The method contains a magic number: 24,225
h2database,org.h2.util,Bits,writeInt,Magic Number,The method contains a magic number: 16,225
h2database,org.h2.util,Bits,writeInt,Magic Number,The method contains a magic number: 8,225
h2database,org.h2.util,Bits,writeIntLE,Magic Number,The method contains a magic number: 8,243
h2database,org.h2.util,Bits,writeIntLE,Magic Number,The method contains a magic number: 16,243
h2database,org.h2.util,Bits,writeIntLE,Magic Number,The method contains a magic number: 24,243
h2database,org.h2.util,Bits,writeLong,Magic Number,The method contains a magic number: 32,261
h2database,org.h2.util,Bits,writeLong,Magic Number,The method contains a magic number: 4,261
h2database,org.h2.util,Bits,writeLongLE,Magic Number,The method contains a magic number: 4,277
h2database,org.h2.util,Bits,writeLongLE,Magic Number,The method contains a magic number: 32,277
h2database,org.h2.util,ByteStack,grow,Magic Number,The method contains a magic number: 0x10,111
h2database,org.h2.util,CacheLRU,CacheLRU,Magic Number,The method contains a magic number: 64,50
h2database,org.h2.util,CacheLRU,removeOld,Complex Method,Cyclomatic complexity of the method is 16,150
h2database,org.h2.util,CacheLRU,removeOld,Magic Number,The method contains a magic number: 4,150
h2database,org.h2.util,CacheLRU,removeOld,Magic Number,The method contains a magic number: 3,150
h2database,org.h2.util,CacheLRU,setMaxMemory,Magic Number,The method contains a magic number: 1024L,356
h2database,org.h2.util,CacheLRU,setMaxMemory,Magic Number,The method contains a magic number: 4,356
h2database,org.h2.util,CacheLRU,getMaxMemory,Magic Number,The method contains a magic number: 4L,365
h2database,org.h2.util,CacheLRU,getMaxMemory,Magic Number,The method contains a magic number: 1024,365
h2database,org.h2.util,CacheLRU,getMemory,Magic Number,The method contains a magic number: 4L,370
h2database,org.h2.util,CacheLRU,getMemory,Magic Number,The method contains a magic number: 1024,370
h2database,org.h2.util,CacheObject,setPos,Complex Conditional,The conditional expression cachePrevious != null || cacheNext != null || cacheChained != null is complex.,50
h2database,org.h2.util,CacheTQ,CacheTQ,Magic Number,The method contains a magic number: 0.8,30
h2database,org.h2.util,CacheTQ,CacheTQ,Magic Number,The method contains a magic number: 0.2,30
h2database,org.h2.util,CacheTQ,CacheTQ,Magic Number,The method contains a magic number: 4,30
h2database,org.h2.util,CacheTQ,setMaxMemory,Magic Number,The method contains a magic number: 0.8,117
h2database,org.h2.util,CacheTQ,setMaxMemory,Magic Number,The method contains a magic number: 0.2,117
h2database,org.h2.util,CacheTQ,setMaxMemory,Magic Number,The method contains a magic number: 4,117
h2database,org.h2.util,DateTimeUtils,currentTimestamp,Long Statement,The length of the statement "return ValueTimestampTimeZone.fromDateValueAndNanos(dateValueFromAbsoluteDay(second / SECONDS_PER_DAY)`second % SECONDS_PER_DAY * 1_000_000_000 + now.getNano()`offset);" is 168.,133
h2database,org.h2.util,DateTimeUtils,currentTimestamp,Magic Number,The method contains a magic number: 1_000_000_000,133
h2database,org.h2.util,DateTimeUtils,parseDateValue,Magic Number,The method contains a magic number: 2,155
h2database,org.h2.util,DateTimeUtils,parseDateValue,Magic Number,The method contains a magic number: 2,155
h2database,org.h2.util,DateTimeUtils,parseDateValue,Magic Number,The method contains a magic number: 3,155
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Complex Method,Cyclomatic complexity of the method is 13,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 2,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 2,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 6,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 4,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 6,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 6,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 2,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 2,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 24,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 60,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 60,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 60L,199
h2database,org.h2.util,DateTimeUtils,parseTimeNanos,Magic Number,The method contains a magic number: 60,199
h2database,org.h2.util,DateTimeUtils,parseNanos,Magic Number,The method contains a magic number: 100_000_000,282
h2database,org.h2.util,DateTimeUtils,parseNanos,Magic Number,The method contains a magic number: 10,282
h2database,org.h2.util,DateTimeUtils,parseTimestamp,Complex Conditional,The conditional expression dateEnd < 0 && provider != null && provider.getMode().allowDB2TimestampFormat is complex.,308
h2database,org.h2.util,DateTimeUtils,parseTimestamp,Complex Method,Cyclomatic complexity of the method is 15,308
h2database,org.h2.util,DateTimeUtils,parseTimestamp,Magic Number,The method contains a magic number: 1_000_000_000,308
h2database,org.h2.util,DateTimeUtils,dateTimeToValue,Long Statement,The length of the statement "return ValueTimestampTimeZone.fromDateValueAndNanos(dateValue`timeNanos`((ValueTimestampTimeZone)original).getTimeZoneOffsetSeconds());" is 135.,489
h2database,org.h2.util,DateTimeUtils,dateTimeToValue,Missing default,The following switch statement is missing a default case: switch (original.getValueType()) {,489
h2database,org.h2.util,DateTimeUtils,getDayOfWeekFromAbsolute,Long Statement,The length of the statement "return absoluteValue >= 0 ? (int)((absoluteValue - firstDayOfWeek + 11) % 7) + 1 : (int)((absoluteValue - firstDayOfWeek - 2) % 7) + 7;" is 135.,533
h2database,org.h2.util,DateTimeUtils,getDayOfWeekFromAbsolute,Magic Number,The method contains a magic number: 11,533
h2database,org.h2.util,DateTimeUtils,getDayOfWeekFromAbsolute,Magic Number,The method contains a magic number: 7,533
h2database,org.h2.util,DateTimeUtils,getDayOfWeekFromAbsolute,Magic Number,The method contains a magic number: 2,533
h2database,org.h2.util,DateTimeUtils,getDayOfWeekFromAbsolute,Magic Number,The method contains a magic number: 7,533
h2database,org.h2.util,DateTimeUtils,getDayOfWeekFromAbsolute,Magic Number,The method contains a magic number: 7,533
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Complex Conditional,The conditional expression (y & 3) != 0 || (y % 100 == 0 && y % 400 != 0) is complex.,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 367,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 362,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 12,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 2,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 3,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 100,545
h2database,org.h2.util,DateTimeUtils,getDayOfYear,Magic Number,The method contains a magic number: 400,545
h2database,org.h2.util,DateTimeUtils,getIsoWeekOfYear,Magic Number,The method contains a magic number: 4,577
h2database,org.h2.util,DateTimeUtils,getIsoWeekYear,Magic Number,The method contains a magic number: 4,590
h2database,org.h2.util,DateTimeUtils,getWeekOfYear,Magic Number,The method contains a magic number: 12,615
h2database,org.h2.util,DateTimeUtils,getWeekOfYear,Magic Number,The method contains a magic number: 24,615
h2database,org.h2.util,DateTimeUtils,getWeekOfYear,Magic Number,The method contains a magic number: 7,615
h2database,org.h2.util,DateTimeUtils,getWeekYearAbsoluteStart,Magic Number,The method contains a magic number: 8,641
h2database,org.h2.util,DateTimeUtils,getWeekYearAbsoluteStart,Magic Number,The method contains a magic number: 7,641
h2database,org.h2.util,DateTimeUtils,getWeekYear,Magic Number,The method contains a magic number: 12,662
h2database,org.h2.util,DateTimeUtils,getWeekYear,Magic Number,The method contains a magic number: 24,662
h2database,org.h2.util,DateTimeUtils,getDaysInMonth,Magic Number,The method contains a magic number: 2,688
h2database,org.h2.util,DateTimeUtils,getDaysInMonth,Magic Number,The method contains a magic number: 3,688
h2database,org.h2.util,DateTimeUtils,getDaysInMonth,Magic Number,The method contains a magic number: 100,688
h2database,org.h2.util,DateTimeUtils,getDaysInMonth,Magic Number,The method contains a magic number: 400,688
h2database,org.h2.util,DateTimeUtils,getDaysInMonth,Magic Number,The method contains a magic number: 29,688
h2database,org.h2.util,DateTimeUtils,getDaysInMonth,Magic Number,The method contains a magic number: 28,688
h2database,org.h2.util,DateTimeUtils,isValidDate,Magic Number,The method contains a magic number: 12,702
h2database,org.h2.util,DateTimeUtils,monthFromDateValue,Magic Number,The method contains a magic number: 15,724
h2database,org.h2.util,DateTimeUtils,dayFromDateValue,Magic Number,The method contains a magic number: 31,734
h2database,org.h2.util,DateTimeUtils,dateValueFromDenormalizedDate,Magic Number,The method contains a magic number: 12,756
h2database,org.h2.util,DateTimeUtils,dateValueFromDenormalizedDate,Magic Number,The method contains a magic number: 12,756
h2database,org.h2.util,DateTimeUtils,dateValueFromDenormalizedDate,Magic Number,The method contains a magic number: 12,756
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 365,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 719_528,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 3,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 4,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 99,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 100,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 399,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 400,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 4,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 100,831
h2database,org.h2.util,DateTimeUtils,absoluteDayFromYear,Magic Number,The method contains a magic number: 400,831
h2database,org.h2.util,DateTimeUtils,absoluteDay,Complex Conditional,The conditional expression (y & 3) != 0 || (y % 100 == 0 && y % 400 != 0) is complex.,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 367,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 362,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 12,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 2,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 3,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 100,858
h2database,org.h2.util,DateTimeUtils,absoluteDay,Magic Number,The method contains a magic number: 400,858
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 719_468,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 146_097,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 146_097,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 400,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 400,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 591,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 146_097,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 365,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 4,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 100,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 400,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 365,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 4,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 100,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 400,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 5,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 2,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 153,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 306,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 5,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 10,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 10,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 12,877
h2database,org.h2.util,DateTimeUtils,dateValueFromAbsoluteDay,Magic Number,The method contains a magic number: 3,877
h2database,org.h2.util,DateTimeUtils,incrementDateValue,Magic Number,The method contains a magic number: 28,907
h2database,org.h2.util,DateTimeUtils,incrementDateValue,Magic Number,The method contains a magic number: 12,907
h2database,org.h2.util,DateTimeUtils,decrementDateValue,Magic Number,The method contains a magic number: 12,933
h2database,org.h2.util,DateTimeUtils,appendDate,Magic Number,The method contains a magic number: 1_000,955
h2database,org.h2.util,DateTimeUtils,appendDate,Magic Number,The method contains a magic number: 1_000,955
h2database,org.h2.util,DateTimeUtils,appendDate,Magic Number,The method contains a magic number: 4,955
h2database,org.h2.util,DateTimeUtils,appendTime,Magic Number,The method contains a magic number: 1_000_000_000,977
h2database,org.h2.util,DateTimeUtils,appendTime,Magic Number,The method contains a magic number: 1_000_000_000,977
h2database,org.h2.util,DateTimeUtils,appendTime,Magic Number,The method contains a magic number: 60,977
h2database,org.h2.util,DateTimeUtils,appendTime,Magic Number,The method contains a magic number: 60,977
h2database,org.h2.util,DateTimeUtils,appendTime,Magic Number,The method contains a magic number: 60,977
h2database,org.h2.util,DateTimeUtils,appendTime,Magic Number,The method contains a magic number: 60,977
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 1_000,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 1_000,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 1_000,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 1_000,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 10,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 10,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 10,1007
h2database,org.h2.util,DateTimeUtils,appendNanos,Magic Number,The method contains a magic number: 10,1007
h2database,org.h2.util,DateTimeUtils,appendTimeZone,Magic Number,The method contains a magic number: 3_600,1037
h2database,org.h2.util,DateTimeUtils,appendTimeZone,Magic Number,The method contains a magic number: 3_600,1037
h2database,org.h2.util,DateTimeUtils,appendTimeZone,Magic Number,The method contains a magic number: 60,1037
h2database,org.h2.util,DateTimeUtils,appendTimeZone,Magic Number,The method contains a magic number: 60,1037
h2database,org.h2.util,DateTimeUtils,timeZoneNameFromOffsetSeconds,Magic Number,The method contains a magic number: 12,1065
h2database,org.h2.util,DateTimeUtils,timeZoneNameFromOffsetSeconds,Magic Number,The method contains a magic number: 3_600,1065
h2database,org.h2.util,DateTimeUtils,timeZoneNameFromOffsetSeconds,Magic Number,The method contains a magic number: 3_600,1065
h2database,org.h2.util,DateTimeUtils,timeZoneNameFromOffsetSeconds,Magic Number,The method contains a magic number: 60,1065
h2database,org.h2.util,DateTimeUtils,timeZoneNameFromOffsetSeconds,Magic Number,The method contains a magic number: 60,1065
h2database,org.h2.util,DateTimeUtils,convertScale,Magic Number,The method contains a magic number: 9,1096
h2database,org.h2.util,IntArray,IntArray,Magic Number,The method contains a magic number: 10,19
h2database,org.h2.util,IntArray,ensureCapacity,Magic Number,The method contains a magic number: 4,83
h2database,org.h2.util,IntArray,hashCode,Magic Number,The method contains a magic number: 31,113
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Complex Method,Cyclomatic complexity of the method is 40,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Long Method,The method has 129 lines of code.,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 8,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 8,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 4,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 4,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 5,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 5,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 5,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 5,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 3,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 3,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 4,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 4,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 4,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 4,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 2,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseFormattedInterval,Magic Number,The method contains a magic number: 6,52
h2database,org.h2.util,IntervalUtils,parseInterval,Complex Method,Cyclomatic complexity of the method is 25,209
h2database,org.h2.util,IntervalUtils,parseInterval,Long Method,The method has 120 lines of code.,209
h2database,org.h2.util,IntervalUtils,parseInterval,Long Statement,The length of the statement "remaining=parseIntervalRemaining(s`space + 1`colon`23) * NANOS_PER_HOUR + parseIntervalRemaining(s`colon + 1`s.length()`59) * NANOS_PER_MINUTE;" is 143.,209
h2database,org.h2.util,IntervalUtils,parseInterval,Long Statement,The length of the statement "remaining=parseIntervalRemaining(s`space + 1`colon`23) * NANOS_PER_HOUR + parseIntervalRemaining(s`colon + 1`colon2`59) * NANOS_PER_MINUTE + parseIntervalRemainingSeconds(s`colon2 + 1);" is 185.,209
h2database,org.h2.util,IntervalUtils,parseInterval,Long Statement,The length of the statement "remaining=parseIntervalRemaining(s`colon + 1`colon2`59) * NANOS_PER_MINUTE + parseIntervalRemainingSeconds(s`colon2 + 1);" is 121.,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 11,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 23,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 23,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 60,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 23,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 60,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 59,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 23,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 23,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 59,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 23,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 59,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 59,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 59,209
h2database,org.h2.util,IntervalUtils,parseInterval,Magic Number,The method contains a magic number: 59,209
h2database,org.h2.util,IntervalUtils,parseInterval,Missing default,The following switch statement is missing a default case: switch (qualifier) {,209
h2database,org.h2.util,IntervalUtils,parseInterval2,Long Parameter List,The method has 5 parameters. ,331
h2database,org.h2.util,IntervalUtils,parseIntervalRemainingSeconds,Magic Number,The method contains a magic number: 59,370
h2database,org.h2.util,IntervalUtils,appendInterval,Complex Method,Cyclomatic complexity of the method is 15,386
h2database,org.h2.util,IntervalUtils,appendInterval,Long Parameter List,The method has 5 parameters. ,386
h2database,org.h2.util,IntervalUtils,appendInterval,Magic Number,The method contains a magic number: 60,386
